Date,Media Pump,Effluent Pump,Acid Pump,Water Pump,Gas Pump,Base Pump,N2 Mass Flow Controller,N2 MFC Set Point,DO mg/L,pH,Ammonium,DO Amp (A),pH Amp (A),NH4 Amp (A),Reactor Status,N2 Valve,Clock,Air Mass Flow Controller,Air MFC Set Point
2016-03-10 13:22:44,0,0,0,0,1,0,499.2237933300016,524.3149219687515,0.2275528247317649,7.825897547124938,-0.1313956261874552,0.004120258902320017,0.01294388291099993,0.003971968933080009,0,0,03/10/1601:20 PM,-125,-127.9824472187513
2016-03-10 13:23:17,0,0,0,0,1,0,499.224715374376,524.3149219687515,0.3061229453249403,7.8331284053749375,-0.1167758734687006,0.0041516884591760155,0.01295214674899993,0.0039750878136600104,0,0,03/10/1601:21 PM,-125,-127.9824472187513
2016-03-10 13:23:50,0,0,0,0,1,0,494.18738205500114,519.0716987775015,0.3516727655186145,7.849093084874935,-0.1353926143124262,0.004169909261852014,0.01297039209699993,0.003971116242280016,0,0,03/10/1601:22 PM,-125,-122.70264351156379
2016-03-10 13:24:23,0,0,0,0,1,0,489.2448144075008,513.8284755862516,0.3799215546516361,7.84564831662494,-0.1183746687186513,0.00418120931990801,0.01296645521899993,0.003974746737340021,0,0,03/10/1601:22 PM,-125,-117.4228398043763
2016-03-10 13:24:56,0,0,0,0,1,0,494.3110384506261,519.0716987775015,0.3361157701802195,7.858566914624938,-0.1053075921561586,0.004163686165008008,0.01298121933099993,0.003977534380340019,0,0,03/10/1601:23 PM,-125,-122.70264351156379
2016-03-10 13:25:28,0,0,0,0,1,0,494.2160678800012,519.0716987775015,0.2987616065761465,7.8809220551249375,-0.1062607200936334,0.00414874378233201,0.01300676806299993,0.003977331046380025,0,0,03/10/1601:23 PM,-125,-122.70264351156379
2016-03-10 13:26:02,0,0,0,0,1,0,494.2220099437506,519.0716987775015,0.2723601184384137,7.881822685624938,-0.1293048939373911,0.004138182680144012,0.01300779735499993,0.003972414955960023,0,0,03/10/1601:24 PM,-125,-122.70264351156379
2016-03-10 13:26:34,0,0,0,0,1,0,499.1839405231261,524.3149219687515,0.2336749802041869,7.8941991843749415,-0.1024635813748915,0.004122707882060013,0.01302194192499993,0.0039781411026400225,0,0,03/10/1601:24 PM,-125,-127.9824472187513
2016-03-10 13:27:07,0,0,0,0,1,0,499.1867066562512,524.3149219687515,0.209060145202983,7.9224256326249405,-0.1517341465311262,0.004112861475432014,0.01305420072299993,0.003967630048740027,0,0,03/10/1601:25 PM,-125,-127.9824472187513
2016-03-10 13:27:39,0,0,0,0,1,0,499.21436798750125,524.3149219687515,0.1762906318951352,7.899668937124933,-0.1164837858748555,0.004099753040904017,0.01302819307099992,0.003975150125680031,0,0,03/10/1601:25 PM,-125,-127.9824472187513
2016-03-10 13:28:12,0,0,0,0,1,0,494.1700681106258,519.0716987775015,0.1153854295152072,7.917205417624933,-0.1037395429686327,0.004075389790516027,0.01304823476299992,0.003977868897500025,0,0,03/10/1601:26 PM,-125,-122.70264351156379
2016-03-10 13:28:45,0,0,0,0,1,0,431.2891005206262,433.14011115375365,0.098336824677542,7.890866277874932,-0.1570685883748695,0.004068570021232036,0.01301813288899992,0.0039664920344800285,0,0,03/10/1601:26 PM,-125,-33.14749743250151
2016-03-10 13:29:17,0,0,0,0,1,0,257.2361156937508,258.6031132781299,0.07414324642505221,7.918269538374922,-0.1593437969998845,0.004058892125392039,0.013049450900999907,0.003966006656640025,0,0,03/10/1601:27 PM,-125,141.38740335968518
2016-03-10 13:29:50,0,0,0,0,1,0,-0.2960007124991222,-0.0073971562449770545,0.05873705116790084,7.939259391874923,-0.1738559384998517,0.004052729351476031,0.01307343930499991,0.003962910733120032,0,0,03/10/1601:28 PM,-125,399.9979234999969
